id,image_id,classified_at,food,user_id,provider_id,created_at,updated_at,uid,cooking_photo_id,taken_at,milestone,misclassified_at,moderated_at,utc_offset
652072,211dc21be687f04b,2016-11-01T04:41:56,1,5924472,1,2016-11-01T04:41:34,2016-11-05T17:40:46,/storage/extSdCard/DCIM/Camera/20161031_214132.jpg,182510,2016-11-01T04:41:32,1,,2016-11-05T17:40:46,0
676625,eb0756382ebea2b1,2016-11-01T11:46:16,1,5926591,1,2016-11-01T11:45:58,2016-11-05T17:40:54,64CC708C-E61B-4EBC-8667-5CE19666C815/L0/001,183868,2016-11-01T10:21:44,0,,2016-11-05T17:40:54,0
678166,9ed34976dcebb0ba,2016-11-01T11:59:33,1,2834520,1,2016-11-01T11:59:26,2016-11-05T17:40:54,690A6B51-BEB7-45E3-BB92-2A51A92513B8/L0/001,183952,2016-11-01T10:07:52,1,,2016-11-05T17:40:54,0
678170,e4388f49442c97a9,2016-11-01T11:59:33,1,2834520,1,2016-11-01T11:59:27,2016-11-05T17:40:54,8B194C2B-ADCE-4C3A-B5CB-016679650626/L0/001,183953,2016-11-01T11:51:37,1,,2016-11-05T17:40:54,0
678179,3ad82aa882bdf3db,2016-11-01T11:59:35,1,2834520,1,2016-11-01T11:59:27,2016-11-05T17:40:54,99EC1C33-A3A6-49B2-9119-20859431291B/L0/001,183955,2016-11-01T11:52:07,0,,2016-11-05T17:40:54,0
678181,8893380709765eab,2016-11-01T11:59:36,1,2834520,1,2016-11-01T11:59:28,2016-11-05T17:40:54,BF34782B-B9BC-434F-A110-42E07A391872/L0/001,183956,2016-11-01T11:52:19,0,,2016-11-05T17:40:54,0
695804,1bb2f5ef1896ec9e,2016-11-01T15:09:24,1,5928222,1,2016-11-01T15:07:07,2016-11-05T17:41:22,23F5F3EA-E89A-4438-B5DF-31AA80D416C1/L0/001,184900,2016-11-01T14:32:52,0,,2016-11-05T17:41:22,0
710405,8c1c1297c3097b07,2016-11-01T19:35:42,1,2641870,1,2016-11-01T19:33:05,2016-11-05T17:41:23,051EEEAF-EF2C-42FA-BBF4-433E2E6357BD/L0/001,185496,2016-11-01T19:25:09,1,,2016-11-05T17:41:23,0
710406,bee8e53c77420de5,2016-11-01T19:35:41,1,2641870,1,2016-11-01T19:33:05,2016-11-05T17:41:23,D8BBBC10-96CC-4724-B66B-50EB9E2F5266/L0/001,185495,2016-11-01T19:25:16,0,,2016-11-05T17:41:23,0
711229,418aed3742f44ca1,2016-11-01T19:40:10,1,5833335,1,2016-11-01T19:38:31,2016-11-05T17:41:23,747C99A9-9A59-4D7E-855B-749B749FCD3E/L0/001,185508,2016-11-01T17:04:42,0,,2016-11-05T17:41:23,0
714409,42b3c454714fba23,2016-11-01T20:54:07,1,3749105,1,2016-11-01T20:54:02,2016-11-05T17:41:27,8191A715-2882-4B50-9AFC-7282BB2516AC/L0/001,185615,2016-11-01T20:53:04,0,,2016-11-05T17:41:27,0
